The 1006 Kyoiku kanji (school classes 1-6), taken from [wikipedia](https://en.wikipedia.org/wiki/Kyōiku_kanji)
査, level_school(replace):5
格, level_school(replace):5
桜, level_school(replace):5
検, level_school(replace):5
構, level_school(replace):5
武, level_school(replace):5
比, level_school(replace):5
永, level_school(replace):5
河, level_school(replace):5
液, level_school(replace):5
混, level_school(replace):5
減, level_school(replace):5
測, level_school(replace):5
準, level_school(replace):5
演, level_school(replace):5
潔, level_school(replace):5
災, level_school(replace):5
燃, level_school(replace):5
版, level_school(replace):5
犯, level_school(replace):5
状, level_school(replace):5
独, level_school(replace):5
率, level_school(replace):5
現, level_school(replace):5
留, level_school(replace):5
略, level_school(replace):5
益, level_school(replace):5
眼, level_school(replace):5
破, level_school(replace):5
確, level_school(replace):5
示, level_school(replace):5
祖, level_school(replace):5
禁, level_school(replace):5
移, level_school(replace):5
程, level_school(replace):5
税, level_school(replace):5
築, level_school(replace):5
精, level_school(replace):5
素, level_school(replace):5
経, level_school(replace):5
統, level_school(replace):5
絶, level_school(replace):5
綿, level_school(replace):5
総, level_school(replace):5
編, level_school(replace):5
績, level_school(replace):5
織, level_school(replace):5
罪, level_school(replace):5
群, level_school(replace):5
義, level_school(replace):5
耕, level_school(replace):5
職, level_school(replace):5
肥, level_school(replace):5
能, level_school(replace):5
興, level_school(replace):5
舌, level_school(replace):5
舎, level_school(replace):5
術, level_school(replace):5
衛, level_school(replace):5
製, level_school(replace):5
複, level_school(replace):5
規, level_school(replace):5
解, level_school(replace):5
設, level_school(replace):5
許, level_school(replace):5
証, level_school(replace):5
評, level_school(replace):5
講, level_school(replace):5
謝, level_school(replace):5
識, level_school(replace):5
護, level_school(replace):5
豊, level_school(replace):5
財, level_school(replace):5
貧, level_school(replace):5
責, level_school(replace):5
貸, level_school(replace):5
貿, level_school(replace):5
賀, level_school(replace):5
資, level_school(replace):5
賛, level_school(replace):5
質, level_school(replace):5
輸, level_school(replace):5
述, level_school(replace):5
迷, level_school(replace):5
退, level_school(replace):5
逆, level_school(replace):5
造, level_school(replace):5
過, level_school(replace):5
適, level_school(replace):5
酸, level_school(replace):5
鉱, level_school(replace):5
銅, level_school(replace):5
銭, level_school(replace):5
防, level_school(replace):5
限, level_school(replace):5
険, level_school(replace):5
際, level_school(replace):5
雑, level_school(replace):5
非, level_school(replace):5
預, level_school(replace):5
領, level_school(replace):5
額, level_school(replace):5
飼, level_school(replace):5
並, level_school(replace):6
乱, level_school(replace):6
乳, level_school(replace):6
亡, level_school(replace):6
仁, level_school(replace):6
供, level_school(replace):6
俳, level_school(replace):6
値, level_school(replace):6
傷, level_school(replace):6
優, level_school(replace):6
党, level_school(replace):6
冊, level_school(replace):6
処, level_school(replace):6
刻, level_school(replace):6
割, level_school(replace):6
創, level_school(replace):6
劇, level_school(replace):6
勤, level_school(replace):6
危, level_school(replace):6
卵, level_school(replace):6
厳, level_school(replace):6
収, level_school(replace):6
后, level_school(replace):6
否, level_school(replace):6
吸, level_school(replace):6
呼, level_school(replace):6
善, level_school(replace):6
困, level_school(replace):6
垂, level_school(replace):6
城, level_school(replace):6
域, level_school(replace):6
奏, level_school(replace):6
奮, level_school(replace):6
姿, level_school(replace):6
存, level_school(replace):6
孝, level_school(replace):6
宅, level_school(replace):6
宇, level_school(replace):6
宗, level_school(replace):6
宙, level_school(replace):6
宝, level_school(replace):6
宣, level_school(replace):6
密, level_school(replace):6
寸, level_school(replace):6
専, level_school(replace):6
射, level_school(replace):6
将, level_school(replace):6
尊, level_school(replace):6
就, level_school(replace):6
尺, level_school(replace):6
届, level_school(replace):6
展, level_school(replace):6
層, level_school(replace):6
己, level_school(replace):6
巻, level_school(replace):6
幕, level_school(replace):6
干, level_school(replace):6
幼, level_school(replace):6
庁, level_school(replace):6
座, level_school(replace):6
延, level_school(replace):6
律, level_school(replace):6
従, level_school(replace):6
忘, level_school(replace):6
忠, level_school(replace):6
憲, level_school(replace):6
我, level_school(replace):6
批, level_school(replace):6
担, level_school(replace):6
拝, level_school(replace):6
拡, level_school(replace):6
捨, level_school(replace):6
探, level_school(replace):6
推, level_school(replace):6
揮, level_school(replace):6
操, level_school(replace):6
敬, level_school(replace):6
映, level_school(replace):6
晩, level_school(replace):6
暖, level_school(replace):6
暮, level_school(replace):6
朗, level_school(replace):6
机, level_school(replace):6
枚, level_school(replace):6
染, level_school(replace):6
株, level_school(replace):6
棒, level_school(replace):6
模, level_school(replace):6
権, level_school(replace):6
樹, level_school(replace):6
欲, level_school(replace):6
段, level_school(replace):6
沿, level_school(replace):6
泉, level_school(replace):6
洗, level_school(replace):6
派, level_school(replace):6
済, level_school(replace):6
源, level_school(replace):6
潮, level_school(replace):6
激, level_school(replace):6
灰, level_school(replace):6
熟, level_school(replace):6
片, level_school(replace):6
班, level_school(replace):6
異, level_school(replace):6
疑, level_school(replace):6
痛, level_school(replace):6
皇, level_school(replace):6
盛, level_school(replace):6
盟, level_school(replace):6
看, level_school(replace):6
砂, level_school(replace):6
磁, level_school(replace):6
私, level_school(replace):6
秘, level_school(replace):6
穀, level_school(replace):6
穴, level_school(replace):6
窓, level_school(replace):6
筋, level_school(replace):6
策, level_school(replace):6
簡, level_school(replace):6
糖, level_school(replace):6
系, level_school(replace):6
紅, level_school(replace):6
納, level_school(replace):6
純, level_school(replace):6
絹, level_school(replace):6
縦, level_school(replace):6
縮, level_school(replace):6
署, level_school(replace):6
翌, level_school(replace):6
聖, level_school(replace):6
肺, level_school(replace):6
背, level_school(replace):6
胸, level_school(replace):6
脳, level_school(replace):6
腹, level_school(replace):6
臓, level_school(replace):6
臨, level_school(replace):6
至, level_school(replace):6
若, level_school(replace):6
著, level_school(replace):6
蒸, level_school(replace):6
蔵, level_school(replace):6
蚕, level_school(replace):6
衆, level_school(replace):6
裁, level_school(replace):6
装, level_school(replace):6
裏, level_school(replace):6
補, level_school(replace):6
視, level_school(replace):6
覧, level_school(replace):6
討, level_school(replace):6
訪, level_school(replace):6
訳, level_school(replace):6
詞, level_school(replace):6
誌, level_school(replace):6
認, level_school(replace):6
誕, level_school(replace):6
誠, level_school(replace):6
誤, level_school(replace):6
論, level_school(replace):6
諸, level_school(replace):6
警, level_school(replace):6
貴, level_school(replace):6
賃, level_school(replace):6
遺, level_school(replace):6
郵, level_school(replace):6
郷, level_school(replace):6
針, level_school(replace):6
鋼, level_school(replace):6
閉, level_school(replace):6
閣, level_school(replace):6
降, level_school(replace):6
陛, level_school(replace):6
除, level_school(replace):6
障, level_school(replace):6
難, level_school(replace):6
革, level_school(replace):6
頂, level_school(replace):6
骨, level_school(replace):6
